Ticker,H,c
AAPL,0.6740461007030129,0.9566272678945478
NVDA,0.8331020142629684,0.7594085362737456
MSFT,0.7680114246575598,0.719074481072852
AMZN,0.7749897423769269,0.7064512710842448
META,0.8737125827317686,0.598976478028952
TSLA,0.47989680707988847,1.5858907809372211
GOOGL,0.7220898046003699,0.6451149331698454
AVGO,0.8288003087311602,0.4895796261086342
GOOG,0.7230153943549587,0.6413942127280422
JPM,0.7033061331677044,0.8448457140472581
LLY,0.7213027599386376,0.9586306043535419
V,0.7113211805257875,0.7424430550977702
XOM,0.33107498200511587,1.741650040232746
UNH,0.42548021480487896,1.309440727059539
MA,0.7040100482436425,0.7349487447474451
COST,0.8723696206611152,0.5594034570360875
WMT,0.7875392300554518,0.6983240369640216
PG,0.5463252665208725,1.096225321994141
HD,0.5892993429777371,0.9295513344335761
NFLX,0.6831128606130628,0.9365289555490399
JNJ,0.29384246669967745,2.262399195135506
CRM,0.7010459594143716,0.8846276620028302
ABBV,0.4895714100634634,1.3233163798677017
BAC,0.5931352831615593,0.9890904274247757
ORCL,0.7083422713408999,0.7760894034968099
MRK,0.39184990618834625,1.7379418227158374
KO,0.5617114231887343,1.2822466548411147
CVX,0.25532620321641447,2.24050650371124
WFC,0.6057439512476194,1.022686396896841
CSCO,0.444405933080946,1.3238043955510594
ACN,0.5643679038586126,1.0272773858993767
NOW,0.7935870829472136,0.6340490160947936
MCD,0.45540363090757086,1.3717645007630643
PEP,0.38785807177698123,1.7062881785861506
IBM,0.7310926815108929,0.8057916940437395
DIS,0.4094080483048148,1.8815884193701224
LIN,0.7223113770243963,0.6363740247481009
TMO,0.4761337388826166,1.2871409955737527
ABT,0.4049380080548269,1.5334540301376334
ADBE,0.5413163167816282,1.2608673654945914
AMD,0.6762647886525128,0.8153412387495427
PM,0.5860247425823836,0.9877243638713493
ISRG,0.6605567971456466,1.0312994363010095
GE,0.903403061335435,0.5690267036015259
INTU,0.717108372049622,0.6370401497928727
GS,0.7299169177243218,0.6017137250146378
CAT,0.5803484660254428,1.058736287410183
TXN,0.5678105647739274,0.9069726067631821
QCOM,0.6291461903228323,0.8178129332899279
VZ,0.649911204483459,0.699044373966636
BKNG,0.8045502163508603,0.6238488683759816
AXP,0.6693564262638557,0.8064906622434204
PLTR,0.8327725913849157,0.5130835228324698
T,0.6174976676438418,1.0637532255142088
SPGI,0.6041680000761855,1.068771457995255
RTX,0.6648589027646467,0.848806354061876
MS,0.6562167227367562,0.7588155737115468
BLK,0.6432379081380454,0.8630173001547297
PFE,0.7260552650787742,0.8406072529800316
HON,0.46979120871723834,1.1691987114085236
NEE,0.5590680588065622,1.1238276468394275
DHR,0.5023224472853539,1.0834885416666693
CMCSA,0.4868123978883746,1.1257981822194183
AMGN,0.5898054624954013,0.9907989460617662
PGR,0.7049472007231194,0.8977558342072585
LOW,0.55081022479023,1.0111782138653098
TJX,0.7599863338949621,0.6456554261793627
UNP,0.5117099384748441,1.1556653040385394
AMAT,0.6874465957556738,0.7368330473727591
ETN,0.6895012698995168,0.9191770603708768
BA,0.567368240333378,0.9506862921100706
BSX,0.7832773329037752,0.6631060600156473
C,0.6433055829565428,0.8165348693056848
UBER,0.7470777026739104,0.7830498755938516
SYK,0.6080335526041195,0.9414089560980203
BX,0.751841271970884,0.6088057386816386
COP,0.4241085891785481,1.4252348353125666
PANW,0.6914298210997553,0.8541945048386647
ADP,0.5654923411224404,0.957437362769402
FI,0.7094298725212352,1.0041533939409024
ANET,0.7687267123037106,0.6102825977966063
BMY,0.6673081019473086,0.7994649708689372
GILD,0.5247859084687195,1.045288598999547
SCHW,0.3490216774057238,2.1226913924082167
DE,0.25507934452512143,2.101817927552738
TMUS,0.8016878319397767,0.5704235604438835
ADI,0.5024420903227521,1.051744259335945
MMC,0.7620026619182142,0.6146444818298176
MDT,0.4429407898025945,1.3453360690884528
LMT,0.6349044153767609,0.8516348826904603
CB,0.6272418338395982,0.9854613439038616
VRTX,0.6641721474532855,0.7700735000841187
MU,0.654900277720817,0.7768051662955983
SBUX,0.47927185119109256,1.005124596854265
KKR,0.8028611039509561,0.6209724685296613
PLD,0.40828986009233237,1.4763045354633508
LRCX,0.6894680905188135,0.7945350229210195
UPS,0.48423298748775534,1.2191028043833605
NKE,0.5059750387890208,1.1532758362269335
MO,0.6271783388763233,0.8141570050035721
SO,0.5877712255271496,0.9949110314778847
EQIX,0.5405382197824743,1.014874040223949
PYPL,0.5055256887032832,1.1717319669200164
ICE,0.7731034114595563,0.6629087670113953
CME,0.6722075214291334,0.7393320359867714
AMT,0.41724411992340155,1.713956984880002
APH,0.6986758730296085,0.732742429777091
TT,0.7874732940011228,0.5772252886662348
ELV,0.4834601224848064,1.1077925812955316
CRWD,0.7197493542278367,0.8843335982976337
CMG,0.6756785009950652,0.9697132618033399
KLAC,0.6650384334594739,0.7426401359659428
INTC,0.6012023786677079,0.9233995398245287
DUK,0.5776033417693853,0.9785324511575421
PH,0.7109146946833258,0.8680263408389741
CDNS,0.6109215891973027,1.0625559792399455
SHW,0.689588722695124,0.7675178808112565
MDLZ,0.313436478558382,2.3101987664471495
MSI,0.7204707405556259,0.826487166803218
AON,0.47301231909410096,1.2066688845210154
CI,0.44340077239787046,1.6097765312455672
PNC,0.6202117123553859,0.8915700156343338
APO,0.7251211711888743,0.7751874671782477
SNPS,0.6189042084232812,1.0121695363042296
CL,0.5630299170498387,1.4013381031210894
WM,0.5671056418516086,1.2053341084151084
USB,0.4882972808051063,1.3669251400494165
ZTS,0.32678625569157504,2.016346586903469
