Ticker,VolWeek,VolNextWeek,VolNext2Week,NbWeek
AAPL,0.21413819815599328,0.2188192151979154,0.218893467704115,106
NVDA,0.44628857439676567,0.48136423581741117,0.48186304339038466,106
MSFT,0.20346761759121068,0.21604808906883455,0.2162401463217608,106
AMZN,0.24027759871503002,0.2704462123917692,0.27092999139606466,106
META,0.3431511644886922,0.36678144234022436,0.3672727802962226,106
TSLA,0.5343357757163825,0.5981265565606151,0.5981265565606866,106
GOOGL,0.2845245334627579,0.3010355914487876,0.30127027272439644,106
AVGO,0.45786744584716926,0.4770015639720523,0.47519516828257014,106
GOOG,0.2829231073974304,0.3008046201559459,0.3010580623749087,106
JPM,0.21068258695406472,0.21592400362887162,0.21682260108281096,106
LLY,0.29053688874608147,0.29774117432599245,0.29774117432599645,106
V,0.15461945993773174,0.15461945993773174,0.15461945993773174,106
XOM,0.2243403415490795,0.22743490639788355,0.22764774271558386,106
UNH,0.23148200191798532,0.26617631621836607,0.26651837238722104,106
MA,0.14770621469892214,0.15404732565863297,0.15475251245458801,106
COST,0.18064862675064897,0.18463678788224427,0.18468141508910818,106
WMT,0.1650212314474799,0.16343318228360723,0.16338866318109307,106
PG,0.12886295993553032,0.1393604693321452,0.13949269087133506,106
HD,0.22040778515080994,0.22040778515080994,0.22040778515080994,106
NFLX,0.2952347136768032,0.3211245764011583,0.3215685623409127,106
JNJ,0.16004865186688141,0.16129775390770548,0.16131619086459484,106
CRM,0.29628415706396677,0.3270152808152004,0.32735042584967394,106
ABBV,0.18211885783557408,0.23766272119997292,0.24817797600122632,106
BAC,0.2443845068935861,0.26962825987675154,0.269971446963698,106
ORCL,0.25465506142838296,0.30365408705928826,0.30421748980236146,106
MRK,0.18973118885408158,0.19309150482299442,0.19308872052993303,106
KO,0.12934515715487016,0.13152351551115157,0.13189366254680407,106
CVX,0.1848260733945848,0.20706203354111383,0.20706203354113878,106
WFC,0.26202064654646323,0.2854585886164288,0.2858439954802646,106
CSCO,0.17510209040496286,0.19678725327468832,0.1971372204870226,106
ACN,0.23130997242801882,0.2364145928391828,0.2364968027677341,106
NOW,0.30685075088288694,0.3122075045322062,0.31306345319796913,106
MCD,0.15593727579710506,0.17253124944534015,0.1725312494453585,106
PEP,0.15110616523713266,0.15110616523713266,0.15110616523713263,106
IBM,0.19786073931767725,0.21168125798979867,0.2118304654032278,106
DIS,0.22274393680434212,0.2577306943909284,0.2582520122999617,106
LIN,0.1705209292235863,0.17353729432593215,0.17465462176622215,106
TMO,0.18226374264798584,0.22059934127962763,0.22198499212528047,106
ABT,0.1880969922929112,0.2006550485332387,0.20470629517542518,106
ADBE,0.3284059680638501,0.34025738819908896,0.3421731211091189,106
AMD,0.45155008782174694,0.47083259189910315,0.47089910709450034,106
PM,0.1776807421889219,0.18283226062836702,0.1829033298049254,106
ISRG,0.22579612850989392,0.24057020602671844,0.24419515984378698,106
GE,0.2668614399812566,0.2782282905197162,0.2806071802633288,106
INTU,0.25374332530630633,0.2537433253063062,0.2537433253063062,106
GS,0.23197930148856555,0.2654255252402454,0.265858364041808,106
CAT,0.2680350294947384,0.27170567159669423,0.27428597996974524,106
TXN,0.24532295786560304,0.25062250092536786,0.2509056187259388,106
QCOM,0.3234381191196464,0.3234381191312278,0.32343811913183057,106
VZ,0.2263071899169813,0.22630718991698123,0.2263071899169812,106
BKNG,0.2672952673260352,0.26729526732603515,0.26729526732603515,106
AXP,0.23457919880048325,0.2545405269400308,0.25486777133932825,106
PLTR,0.5641631978225897,0.6728895101707215,0.6775087759211555,106
T,0.20167109827651286,0.20266330898168408,0.20357692156195684,106
SPGI,0.1783522749700874,0.1928755285767291,0.19304926034820247,106
RTX,0.18733166908836135,0.22121832322761684,0.22286335069447677,106
MS,0.25132702782807276,0.27701145140075584,0.27733856085172537,106
BLK,0.21326535396943344,0.22537247599602686,0.2255734959760778,106
PFE,0.2112462421662197,0.21439881398676336,0.21512408608616365,106
HON,0.1859045134598242,0.18958386522296347,0.18964598572468858,106
NEE,0.23290891098084365,0.25318677875672696,0.26195568471703456,106
DHR,0.21234947593324988,0.24352438290905512,0.2439310857871095,106
CMCSA,0.19683904754460835,0.2267748768411601,0.22695875284282194,106
AMGN,0.19743346832223257,0.24043421863442155,0.24043421863447167,106
PGR,0.2218260893754058,0.2331543924649525,0.23326398887910116,106
LOW,0.23374435569752697,0.23374435569752705,0.233744355697527,106
TJX,0.1642704703138028,0.1642704703138028,0.1642704703138028,106
UNP,0.19407817897522098,0.1964344250428598,0.19664989174087522,106
AMAT,0.34705916735715514,0.37343980306852853,0.3734398030687612,106
ETN,0.2718389569355866,0.27337569060850664,0.27339149433672105,106
BA,0.2956826704190225,0.33064527639935976,0.33103219651881854,106
BSX,0.15651291661010097,0.17583957439967074,0.1760979385977193,106
C,0.25706950573104137,0.26647291569474374,0.26810431556322323,106
UBER,0.33709865149162904,0.3895058839211051,0.3897652136412006,106
SYK,0.19173103773254124,0.20794006500527598,0.20815459742788062,106
BX,0.3063620019005147,0.353588310514342,0.3535883105143958,106
COP,0.26979835902748356,0.26997378886135914,0.2694710272659711,106
PANW,0.3396708249616945,0.39360483112187666,0.39360483112193834,106
ADP,0.16612532288692503,0.18636203144960375,0.18709154514284929,106
FI,0.17455985608497882,0.18464741600939888,0.1846474160094101,106
ANET,0.3917020889948764,0.44307572481661317,0.44383580331676425,106
BMY,0.23110075612505762,0.24987262985116432,0.25021960128323273,106
GILD,0.19906944640293442,0.2233687283933971,0.2286872752577003,106
