Ticker,Volatility,NbWeek,Hurst,c
TSCO,9.387196456377659,105,0.5903040977536176,0.9030508624919263
SMCI,1.5466936687741428,105,0.6442234645671608,1.066533157952886
LW,1.0565368071114731,105,0.48426599265633485,1.3630063155352705
PAYC,0.7127523958678679,105,0.5588838550289523,1.0437616695555416
WBA,0.7019491357170284,105,0.7857876441155033,0.5901548607180664
TPL,0.6956236554414318,105,0.6249141439108253,1.161813067167504
FSLR,0.6922112279396148,105,0.42689954859686585,1.2678822965105605
WBD,0.6920692651938513,105,0.4725828141981875,1.2192096130026913
ENPH,0.6826511303202526,105,0.6832660415537237,0.7407725491221012
HUM,0.6451574634146344,105,0.5739467766496741,0.9148396849024608
VST,0.614648136480705,105,0.8035476104559994,0.7367924767522479
VRTX,0.5970731481303845,105,0.664304462789312,0.7696930508649255
MU,0.5944615650152754,105,0.6526580200908787,0.7818306428014847
ALGN,0.5793346610681024,105,0.3324690793571179,2.218883082895795
PLTR,0.5710318408113543,105,0.8284655853040425,0.5195861927330897
MRNA,0.553667102872583,105,0.697437171583197,0.8345202801423993
TSLA,0.5337071757763444,105,0.4799675615027305,1.585804639646191
NCLH,0.5270494927167013,105,0.4126767522825887,1.5601415923814799
ALB,0.5153058868222778,105,0.6413051542411256,0.9656955347235655
DELL,0.5048411023267734,105,0.7035564129017151,0.8985614370041952
CCL,0.504413610467728,105,0.5338449947966618,1.3869776061238028
CEG,0.5021250167757336,105,0.7452211818329095,0.7348984820705143
INTC,0.5014573372531033,105,0.6012976783253547,0.9230143506494882
ADBE,0.4996758107295306,105,0.540487972607924,1.2637060858793847
CVS,0.4959964200660221,105,0.6283279231516204,0.746885405208441
GNRC,0.495050769864372,105,0.527705631138088,1.0434099731793842
NUE,0.4945596547726273,105,0.3464530290558454,2.0774002284839233
SCHW,0.4931387097158443,105,0.34820602979060716,2.1276300943343567
HAS,0.4916083389832083,105,0.4507467260681398,1.4828467805563372
BLDR,0.49099821526056814,105,0.6451490696008135,1.0475597822130887
AVGO,0.48131249539243576,105,0.8248210384545832,0.49523514511589684
WDC,0.48027883932715265,105,0.6324506824586205,0.803638355615946
AMD,0.4797208668166565,105,0.6769747088457805,0.8136007652463192
MHK,0.4774140783392145,105,0.5451515890070133,1.0231762084551146
BX,0.47481428871952364,105,0.7510377835979045,0.610288065213808
CRWD,0.4635536086280946,105,0.7197543549722626,0.8841454031638524
EL,0.46178789320176133,105,0.78165393735196,0.6648870275088828
SBUX,0.4577123449142769,105,0.4801263299944816,1.002701898043873
CHTR,0.4562932354047069,105,0.4158103918378023,1.5899211352196054
BXP,0.45531756105608084,105,0.5656821378357667,0.9527571648241244
NVDA,0.45190973965468123,105,0.8333108763382032,0.7589348665377362
FMC,0.45147219495637886,105,0.7252188694613789,0.7361269561243258
CTAS,0.44796331671488443,105,0.8493401127937821,0.5322215329442068
KEY,0.43826455230702793,105,0.5813776138722124,0.9658417918225566
STLD,0.4346092112112606,105,0.32773250745420635,1.9718693516517622
MGM,0.4275283321816176,105,0.35220347648552397,1.832868641598825
PARA,0.42742969681101006,105,0.5387249172428162,0.9834201018128357
MPWR,0.4271846375049582,105,0.47816745692737034,1.5374812777876963
CFG,0.4175963898317195,105,0.5952417298556152,0.9707887334197803
AXON,0.4159933516920347,105,0.8164097588717331,0.45930186857072974
ANET,0.41459186522694225,105,0.7680080915358275,0.6115953568258605
LDOS,0.413617463090138,105,0.7260069027820941,0.7467166334955243
WYNN,0.41305626575716653,105,0.3106511981563818,2.2881060725265687
DHI,0.4107854946782811,105,0.6653820691462012,0.8694563304664383
CZR,0.40983998797754784,105,0.4271447713185108,1.2939228981329634
GEN,0.408740701930394,105,0.579972900834365,1.0746395334833296
LRCX,0.4084552460779427,105,0.7126111870419035,0.7504408365598074
HBAN,0.4075629241294622,105,0.5436376693867402,1.1080892356004775
AES,0.4069041054195397,105,0.5834003256400903,1.0793252929365975
DVN,0.4061015017229216,105,0.49903683153068185,1.1644312601305717
URI,0.3991885874282832,105,0.6212364217650139,0.933901205657656
KLAC,0.39889375944788497,105,0.6650842808164256,0.7425260347723042
DG,0.39736214648151896,105,0.6319254151676972,1.1193939682160468
NEM,0.3951436615979236,105,0.47965247483717743,1.3228379099277452
HAL,0.3932422326950318,105,0.3580690513948713,1.9293425795629422
MCHP,0.3913661378369653,105,0.441522178746374,1.3301708354158808
FITB,0.39121502715332057,105,0.5727086226336661,1.0348254104007268
APA,0.39045497119558353,105,0.550095800551027,1.0135823820265728
USB,0.38931288588308577,105,0.48741449519869723,1.3705597433966448
HPE,0.3861498189104511,105,0.494628421870719,1.06044092257022
MOS,0.3856089576533649,105,0.6794283065977983,0.689983684896578
F,0.3826070453423773,105,0.3474329476728411,1.7003961879399483
STX,0.38236106466921044,105,0.6809254043975612,0.7521610283445844
RCL,0.3819355488292465,105,0.7789777989543033,0.8079856444633897
RF,0.3793737979919849,105,0.533480735689578,1.2227041300668509
TFC,0.37653551711573574,105,0.5056489547113653,1.239748071182185
PANW,0.37497315841502576,105,0.6924685539636095,0.8515502078165886
UAL,0.37353747040344276,105,0.48897423957317854,1.5982731338721505
UHS,0.3729206163089495,105,0.5316368461514671,1.2345830478117192
JBL,0.37175371090670806,105,0.5886902997342387,1.0445155382801454
DPZ,0.37151346970887156,105,0.5624293479620761,0.9348211319919458
AMAT,0.37142456735025625,105,0.6874326684482058,0.736860186104919
TER,0.3713007131423842,105,0.40326891161219786,1.6752636297758323
TECH,0.3707766472741414,105,0.39086423517978697,1.5663343295042795
